Resume_ID,Rank,Matched_Job_ID,Job_Title,LLM_Score
36856210,1,1655,Network Administrator,0.6007
36856210,2,151,Network Administrator,0.5993
36856210,3,792,Software Engineer,0.5954
36856210,4,1278,Network Administrator,0.5944
36856210,5,805,Network Administrator,0.5876
36856210,6,1061,Network Administrator,0.5853
36856210,7,846,Network Administrator,0.5826
36856210,8,637,Database Administrator,0.5802
36856210,9,1802,Network Administrator,0.5719
36856210,10,674,Database Administrator,0.5686
21780877,1,1076,Network Administrator,0.6565
21780877,2,1061,Network Administrator,0.6424
21780877,3,1987,Network Administrator,0.6346
21780877,4,1533,Network Administrator,0.6255
21780877,5,805,Network Administrator,0.6039
21780877,6,1813,Network Administrator,0.6013
21780877,7,1802,Network Administrator,0.5989
21780877,8,509,Network Administrator,0.5967
21780877,9,1528,Network Administrator,0.5966
21780877,10,1027,Network Administrator,0.5955
33241454,1,1655,Network Administrator,0.5379
33241454,2,1207,Network Administrator,0.5264
33241454,3,1495,Java Developer,0.5263
33241454,4,805,Network Administrator,0.5203
33241454,5,1071,Database Administrator,0.5195
33241454,6,1528,Network Administrator,0.5139
33241454,7,372,Network Administrator,0.5127
33241454,8,1061,Network Administrator,0.5123
33241454,9,559,Network Administrator,0.5103
33241454,10,1278,Network Administrator,0.5031
25990239,1,23,Database Administrator,0.6475
25990239,2,1091,Full Stack Developer,0.6193
25990239,3,1888,Database Administrator,0.5999
25990239,4,2225,Database Administrator,0.58
25990239,5,1459,Database Administrator,0.5677
25990239,6,136,Full Stack Developer,0.5658
25990239,7,2258,Software Engineer,0.5639
25990239,8,551,Database Administrator,0.5637
25990239,9,481,Full Stack Developer,0.5571
25990239,10,1302,Full Stack Developer,0.5539
16899268,1,942,iOS Developer,0.6123
16899268,2,42,Java Developer,0.6066
16899268,3,320,Network Administrator,0.5958
16899268,4,637,Database Administrator,0.5869
16899268,5,1528,Network Administrator,0.5862
16899268,6,1847,Java Developer,0.5811
16899268,7,792,Software Engineer,0.5762
16899268,8,1738,Java Developer,0.57
16899268,9,2233,Software Engineer,0.5667
16899268,10,1759,Backend Developer,0.5662
91635250,1,589,Network Administrator,0.6935
91635250,2,1528,Network Administrator,0.6743
91635250,3,1362,Network Administrator,0.6651
91635250,4,1283,Network Administrator,0.6559
91635250,5,38,Network Administrator,0.6415
91635250,6,1070,Network Administrator,0.6362
91635250,7,595,Network Administrator,0.628
91635250,8,1813,Network Administrator,0.6276
91635250,9,1346,Network Administrator,0.6228
91635250,10,1485,Software Engineer,0.62
19796840,1,1655,Network Administrator,0.5902
19796840,2,792,Software Engineer,0.5619
19796840,3,1201,Database Administrator,0.5603
19796840,4,1919,Database Administrator,0.5599
19796840,5,18,Database Administrator,0.5569
19796840,6,674,Database Administrator,0.5568
19796840,7,1278,Network Administrator,0.5526
19796840,8,1087,Java Developer,0.5469
19796840,9,297,Database Administrator,0.5435
19796840,10,346,Machine Learning,0.5424
15651486,1,1954,Network Administrator,0.6806
15651486,2,1269,Network Administrator,0.6723
15651486,3,991,Network Administrator,0.6637
15651486,4,677,Network Administrator,0.6492
15651486,5,2142,Network Administrator,0.6481
15651486,6,595,Network Administrator,0.6425
15651486,7,1070,Network Administrator,0.6422
15651486,8,823,Network Administrator,0.6289
15651486,9,1528,Network Administrator,0.6253
15651486,10,1071,Database Administrator,0.6245
52246737,1,1528,Network Administrator,0.7217
52246737,2,1071,Database Administrator,0.6949
52246737,3,1802,Network Administrator,0.6934
52246737,4,991,Network Administrator,0.6883
52246737,5,1362,Network Administrator,0.688
52246737,6,805,Network Administrator,0.6856
52246737,7,2142,Network Administrator,0.6851
52246737,8,1283,Network Administrator,0.6831
52246737,9,1061,Network Administrator,0.6821
52246737,10,1278,Network Administrator,0.6807
12045067,1,1699,DevOps Engineer,0.615
12045067,2,151,Network Administrator,0.5819
12045067,3,1061,Network Administrator,0.5793
12045067,4,372,Network Administrator,0.5756
12045067,5,1207,Network Administrator,0.5734
12045067,6,1528,Network Administrator,0.5641
12045067,7,1362,Network Administrator,0.5574
12045067,8,509,Network Administrator,0.553
12045067,9,805,Network Administrator,0.5501
12045067,10,324,Network Administrator,0.5497
13836471,1,903,Network Administrator,0.6267
13836471,2,1278,Network Administrator,0.6066
13836471,3,559,Network Administrator,0.5836
13836471,4,1850,Network Administrator,0.5708
13836471,5,1655,Network Administrator,0.5686
13836471,6,1009,Network Administrator,0.5676
13836471,7,1362,Network Administrator,0.563
13836471,8,580,Network Administrator,0.5588
13836471,9,823,Network Administrator,0.5481
13836471,10,1155,Network Administrator,0.5454
14789139,1,2275,Machine Learning,0.564
14789139,2,1814,Machine Learning,0.5598
14789139,3,320,Network Administrator,0.5521
14789139,4,744,Software Engineer,0.5514
14789139,5,792,Software Engineer,0.5468
14789139,6,1956,Node js developer,0.5246
14789139,7,1971,Network Administrator,0.5188
14789139,8,372,Network Administrator,0.5169
14789139,9,824,Network Administrator,0.5156
14789139,10,699,Software Engineer,0.5093
36434348,1,1436,Java Developer,0.7515
36434348,2,1588,Backend Developer,0.7143
36434348,3,1999,Java Developer,0.7026
36434348,4,277,Java Developer,0.6908
36434348,5,1016,Database Administrator,0.6813
36434348,6,559,Network Administrator,0.6782
36434348,7,1387,Database Administrator,0.6749
36434348,8,23,Database Administrator,0.672
36434348,9,2154,JavaScript Developer,0.6675
36434348,10,481,Full Stack Developer,0.6672
27536013,1,462,Java Developer,0.6591
27536013,2,1631,iOS Developer,0.6335
27536013,3,2224,JavaScript Developer,0.6246
27536013,4,2128,JavaScript Developer,0.6245
27536013,5,1008,JavaScript Developer,0.6188
27536013,6,637,Database Administrator,0.6156
27536013,7,510,JavaScript Developer,0.6128
27536013,8,2241,Database Administrator,0.6065
27536013,9,2123,DevOps Engineer,0.6045
27536013,10,1692,JavaScript Developer,0.5976
18301617,1,1655,Network Administrator,0.7219
18301617,2,453,Network Administrator,0.7213
18301617,3,1528,Network Administrator,0.7057
18301617,4,580,Network Administrator,0.6943
18301617,5,1278,Network Administrator,0.6853
18301617,6,559,Network Administrator,0.6795
18301617,7,1362,Network Administrator,0.6755
18301617,8,1850,Network Administrator,0.6683
18301617,9,903,Network Administrator,0.6662
18301617,10,1071,Database Administrator,0.6639
24913648,1,1802,Network Administrator,0.7283
24913648,2,1362,Network Administrator,0.7257
24913648,3,1528,Network Administrator,0.723
24913648,4,1061,Network Administrator,0.7113
24913648,5,2142,Network Administrator,0.708
24913648,6,1813,Network Administrator,0.7049
24913648,7,595,Network Administrator,0.6988
24913648,8,427,Network Administrator,0.6969
24913648,9,1283,Network Administrator,0.6933
24913648,10,805,Network Administrator,0.6858
26801767,1,1655,Network Administrator,0.6367
26801767,2,372,Network Administrator,0.6281
26801767,3,509,Network Administrator,0.6059
26801767,4,1207,Network Administrator,0.6051
26801767,5,1278,Network Administrator,0.5884
26801767,6,792,Software Engineer,0.577
26801767,7,2146,Network Administrator,0.5725
26801767,8,580,Network Administrator,0.5703
26801767,9,1826,Database Administrator,0.56
26801767,10,1061,Network Administrator,0.5596
27372171,1,805,Network Administrator,0.6147
27372171,2,991,Network Administrator,0.6045
27372171,3,1061,Network Administrator,0.6044
27372171,4,372,Network Administrator,0.5991
27372171,5,1528,Network Administrator,0.5936
27372171,6,559,Network Administrator,0.5936
27372171,7,1802,Network Administrator,0.5927
27372171,8,1071,Database Administrator,0.5862
27372171,9,1699,DevOps Engineer,0.5847
27372171,10,1283,Network Administrator,0.5764
91697974,1,151,Network Administrator,0.5655
91697974,2,1655,Network Administrator,0.5582
91697974,3,297,Database Administrator,0.5457
91697974,4,792,Software Engineer,0.5419
91697974,5,372,Network Administrator,0.5418
91697974,6,320,Network Administrator,0.5411
91697974,7,699,Software Engineer,0.5339
91697974,8,1278,Network Administrator,0.5319
91697974,9,213,Database Administrator,0.5268
91697974,10,1061,Network Administrator,0.5239
28672970,1,792,Software Engineer,0.6772
28672970,2,1991,Software Engineer,0.6744
28672970,3,1655,Network Administrator,0.6632
28672970,4,1278,Network Administrator,0.6532
28672970,5,320,Network Administrator,0.65
28672970,6,637,Database Administrator,0.6456
28672970,7,372,Network Administrator,0.6252
28672970,8,1528,Network Administrator,0.6212
28672970,9,1971,Network Administrator,0.5996
28672970,10,699,Software Engineer,0.5977
66832845,1,1818,Network Administrator,0.6348
66832845,2,559,Network Administrator,0.6225
66832845,3,1650,Network Administrator,0.6184
66832845,4,1362,Network Administrator,0.6146
66832845,5,903,Network Administrator,0.5947
66832845,6,823,Network Administrator,0.577
66832845,7,1071,Database Administrator,0.5736
66832845,8,1436,Java Developer,0.5575
66832845,9,1009,Network Administrator,0.5533
66832845,10,1850,Network Administrator,0.5517
25207620,1,131,Network Administrator,0.6051
25207620,2,1362,Network Administrator,0.5924
25207620,3,824,Network Administrator,0.5854
25207620,4,589,Network Administrator,0.5813
25207620,5,2137,Network Administrator,0.5793
25207620,6,1155,Network Administrator,0.5782
25207620,7,1161,Network Administrator,0.5777
25207620,8,559,Network Administrator,0.5725
25207620,9,1738,Java Developer,0.5717
25207620,10,1070,Network Administrator,0.5686
41344156,1,1278,Network Administrator,0.5392
41344156,2,561,DevOps Engineer,0.5372
41344156,3,509,Network Administrator,0.5312
41344156,4,824,Network Administrator,0.519
41344156,5,1395,Software Engineer,0.5145
41344156,6,1061,Network Administrator,0.5135
41344156,7,1655,Network Administrator,0.5067
41344156,8,1632,Java Developer,0.5065
41344156,9,903,Network Administrator,0.5052
41344156,10,1961,DevOps Engineer,0.5032
68460556,1,2225,Database Administrator,0.5268
68460556,2,2187,Software Engineer,0.5235
68460556,3,213,Database Administrator,0.5206
68460556,4,1811,JavaScript Developer,0.5169
68460556,5,930,Full Stack Developer,0.5123
68460556,6,898,Machine Learning,0.5116
68460556,7,1888,Database Administrator,0.5109
68460556,8,1362,Network Administrator,0.509
68460556,9,1547,Database Administrator,0.5055
68460556,10,2041,Database Administrator,0.5001
10247517,1,1655,Network Administrator,0.6632
10247517,2,1278,Network Administrator,0.618
10247517,3,559,Network Administrator,0.6004
10247517,4,1528,Network Administrator,0.5928
10247517,5,1850,Network Administrator,0.5843
10247517,6,792,Software Engineer,0.5831
10247517,7,580,Network Administrator,0.5788
10247517,8,637,Database Administrator,0.5698
