Resume_ID,Rank,Matched_Job_ID,Job_Title,TFIDF_Score
36856210,1,2104,Database Administrator,0.44367137368987175
36856210,2,1459,Database Administrator,0.34554142929939496
36856210,3,782,Database Administrator,0.3128867976737795
36856210,4,1179,Machine Learning,0.30919973109637944
36856210,5,1532,DevOps Engineer,0.29036489540541244
36856210,6,2091,Database Administrator,0.2876664609426605
36856210,7,2057,Network Administrator,0.2868427612804275
36856210,8,1348,Database Administrator,0.2841083528173883
36856210,9,846,Network Administrator,0.28388861848417
36856210,10,1626,DevOps Engineer,0.28088680206542194
21780877,1,2223,Database Administrator,0.33617856241919847
21780877,2,2144,Database Administrator,0.31381941511425643
21780877,3,2137,Network Administrator,0.30420703728023646
21780877,4,1655,Network Administrator,0.3035815845567915
21780877,5,1454,Database Administrator,0.2985212360359992
21780877,6,399,Network Administrator,0.2983306810395231
21780877,7,234,Java Developer,0.2835646039041354
21780877,8,2069,Database Administrator,0.28186592308865227
21780877,9,669,Network Administrator,0.2721653156943293
21780877,10,580,Network Administrator,0.26542903324972833
33241454,1,2057,Network Administrator,0.38417657625571855
33241454,2,684,Database Administrator,0.3797219428035249
33241454,3,509,Network Administrator,0.3742324674446964
33241454,4,2144,Database Administrator,0.36341322072250803
33241454,5,2223,Database Administrator,0.3605219328530385
33241454,6,1454,Database Administrator,0.34356523426551233
33241454,7,1971,Network Administrator,0.3416142658365297
33241454,8,399,Network Administrator,0.32371462524671696
33241454,9,2033,Database Administrator,0.3030400002196218
33241454,10,1061,Network Administrator,0.30255141559628157
25990239,1,1401,Java Developer,0.39014379630220836
25990239,2,1770,Machine Learning,0.3771134392093949
25990239,3,2225,Database Administrator,0.3640036217290172
25990239,4,1205,Database Administrator,0.35847052959590503
25990239,5,23,Database Administrator,0.35547216991013847
25990239,6,351,Machine Learning,0.34697851698372756
25990239,7,1127,PHP Developer,0.33596769963621387
25990239,8,649,Database Administrator,0.33039862696781924
25990239,9,1964,Full Stack Developer,0.3272651343786751
25990239,10,1493,Database Administrator,0.3267101852739275
16899268,1,686,Network Administrator,0.3649623358686883
16899268,2,275,Software Engineer,0.357568300279398
16899268,3,1888,Database Administrator,0.3496485685446916
16899268,4,2033,Database Administrator,0.3475318373182686
16899268,5,533,Full Stack Developer,0.34658325374919974
16899268,6,2104,Database Administrator,0.34603039432290883
16899268,7,516,Java Developer,0.3452704897858155
16899268,8,1401,Java Developer,0.3429641259889268
16899268,9,1785,Software Engineer,0.3423724397253515
16899268,10,23,Database Administrator,0.33458223092873873
91635250,1,399,Network Administrator,0.35581877434530124
91635250,2,1155,Network Administrator,0.3366209659441856
91635250,3,580,Network Administrator,0.33436328333952137
91635250,4,2137,Network Administrator,0.33000437474334343
91635250,5,1695,Network Administrator,0.32911277827193786
91635250,6,1528,Network Administrator,0.3252178141194886
91635250,7,530,Network Administrator,0.3236860667437929
91635250,8,669,Network Administrator,0.3185501060212031
91635250,9,1655,Network Administrator,0.31339736263235995
91635250,10,2163,Network Administrator,0.3110061811278602
19796840,1,674,Database Administrator,0.4955880532714348
19796840,2,23,Database Administrator,0.27879071055055277
19796840,3,580,Network Administrator,0.277536248189124
19796840,4,1655,Network Administrator,0.27295822255385166
19796840,5,1991,Software Engineer,0.2636531097118239
19796840,6,2194,Java Developer,0.2590737633795116
19796840,7,947,Java Developer,0.25904950108243296
19796840,8,399,Network Administrator,0.25673177317179835
19796840,9,1956,Node js developer,0.2531266685761013
19796840,10,1566,DevOps Engineer,0.25159316734301157
15651486,1,1327,Network Administrator,0.5947483480220405
15651486,2,1027,Network Administrator,0.5939666550596981
15651486,3,1799,Network Administrator,0.5869449079923917
15651486,4,973,Network Administrator,0.5868922584512739
15651486,5,990,Java Developer,0.5762811963295988
15651486,6,2273,Full Stack Developer,0.5589032607176491
15651486,7,991,Network Administrator,0.5301359734284846
15651486,8,776,Network Administrator,0.5223064886948323
15651486,9,63,JavaScript Developer,0.5125347668542563
15651486,10,1802,Network Administrator,0.49841959089417465
52246737,1,782,Database Administrator,0.36158103178989554
52246737,2,2057,Network Administrator,0.3572216193862354
52246737,3,1655,Network Administrator,0.3451092879541884
52246737,4,509,Network Administrator,0.3316289212391082
52246737,5,1071,Database Administrator,0.33022805490187546
52246737,6,354,DevOps Engineer,0.3301223803414265
52246737,7,1626,DevOps Engineer,0.32873514342156834
